date	Lucky Charms	Frosted Flakes	Count Chocula	Honey Nut Cheerios	Capn Crunch	Wheaties	Reeses_Puffs	Rice Krispies	Corn Flakes	Raisin Bran	Cookie Crisp	Apple Jacks	Grape-Nuts	Trix	Honeycomb
20150412	35.71428571	21.42857143	7.142857143	14.28571429	7.142857143	21.42857143	0	107.1428571	107.1428571	21.42857143	14.28571429	14.28571429	0	21.42857143	28.57142857
20150419	33.33333333	20	13.33333333	20	0	33.33333333	0	113.3333333	106.6666667	26.66666667	13.33333333	6.666666667	0	20	40
20150426	38.46153846	23.07692308	7.692307692	15.38461538	7.692307692	30.76923077	7.692307692	130.7692308	130.7692308	23.07692308	15.38461538	7.692307692	0	23.07692308	38.46153846
20150503	33.33333333	25	8.333333333	16.66666667	0	25	0	133.3333333	133.3333333	25	16.66666667	8.333333333	0	16.66666667	41.66666667
20150510	41.66666667	33.33333333	8.333333333	16.66666667	0	16.66666667	0	150	125	16.66666667	16.66666667	16.66666667	0	25	33.33333333
20150517	33.33333333	25	8.333333333	8.333333333	0	16.66666667	0	141.6666667	125	25	16.66666667	8.333333333	0	25	33.33333333
20150524	41.66666667	33.33333333	8.333333333	8.333333333	8.333333333	16.66666667	0	150	125	25	16.66666667	8.333333333	0	25	41.66666667
20150531	30.76923077	30.76923077	15.38461538	15.38461538	0	100	0	138.4615385	123.0769231	23.07692308	15.38461538	7.692307692	0	15.38461538	38.46153846
20150607	33.33333333	25	8.333333333	16.66666667	0	41.66666667	0	125	116.6666667	33.33333333	16.66666667	16.66666667	0	16.66666667	41.66666667
20150614	33.33333333	25	8.333333333	16.66666667	0	25	0	141.6666667	125	25	16.66666667	8.333333333	0	16.66666667	50
20150621	33.33333333	25	8.333333333	8.333333333	0	25	0	133.3333333	125	25	16.66666667	8.333333333	0	25	41.66666667
20150628	33.33333333	25	16.66666667	16.66666667	8.333333333	16.66666667	0	158.3333333	141.6666667	25	16.66666667	8.333333333	0	16.66666667	41.66666667
20150705	30.76923077	23.07692308	7.692307692	15.38461538	15.38461538	15.38461538	0	123.0769231	115.3846154	23.07692308	15.38461538	7.692307692	0	23.07692308	38.46153846
20150712	28.57142857	21.42857143	7.142857143	14.28571429	14.28571429	21.42857143	0	128.5714286	114.2857143	21.42857143	14.28571429	7.142857143	0	21.42857143	50
20150719	38.46153846	23.07692308	7.692307692	15.38461538	7.692307692	23.07692308	0	153.8461538	115.3846154	23.07692308	15.38461538	7.692307692	0	23.07692308	46.15384615
20150726	30.76923077	23.07692308	7.692307692	7.692307692	0	23.07692308	0	138.4615385	123.0769231	23.07692308	15.38461538	7.692307692	0	15.38461538	46.15384615
20150802	30.76923077	23.07692308	15.38461538	7.692307692	7.692307692	30.76923077	0	138.4615385	123.0769231	30.76923077	15.38461538	15.38461538	0	15.38461538	46.15384615
20150809	38.46153846	30.76923077	7.692307692	15.38461538	7.692307692	76.92307692	0	130.7692308	123.0769231	23.07692308	15.38461538	7.692307692	0	23.07692308	38.46153846
20150816	28.57142857	21.42857143	14.28571429	14.28571429	7.142857143	42.85714286	0	114.2857143	114.2857143	21.42857143	14.28571429	7.142857143	0	21.42857143	42.85714286
20150823	38.46153846	30.76923077	7.692307692	15.38461538	7.692307692	23.07692308	0	130.7692308	123.0769231	23.07692308	15.38461538	7.692307692	0	23.07692308	46.15384615
20150830	29.41176471	17.64705882	11.76470588	11.76470588	0	17.64705882	0	94.11764706	94.11764706	17.64705882	11.76470588	5.882352941	0	11.76470588	29.41176471
20150906	35.29411765	17.64705882	11.76470588	11.76470588	0	11.76470588	0	88.23529412	94.11764706	11.76470588	11.76470588	11.76470588	0	11.76470588	35.29411765
20150913	31.25	25	18.75	18.75	0	12.5	0	93.75	106.25	25	12.5	12.5	0	18.75	31.25
20150920	35.29411765	23.52941176	11.76470588	11.76470588	0	17.64705882	0	100	82.35294118	17.64705882	11.76470588	11.76470588	0	17.64705882	35.29411765
